"NODE_ID","ARTICLE_ID"
201143,15095
10094,22947
9802360,31046
6265,23998
9905203,25529
9910312,27400
204208,17220
9409228,32698
1333,14212
9702284,23593
9611370,33033
9812354,15535
9309284,7951
3120,18314
9403371,11844
209369,27832
104277,11924
9711373,15526
101253,19344
9708302,4830
9811315,19729
9511399,6921
9701347,2884
9906409,16670
9401217,13662
9601319,21654
7237,20455
207036,11107
201157,29147
9511272,7092
109073,25535
9710490,25351
212076,26068
209040,28650
9402333,1557
9605209,10697
9410288,21802
9904254,24370
109271,29098
1273,12358
9902206,19150
9910550,4918
9409230,26638
9611263,20934
12377,6431
9703382,29010
9712272,33002
6200,4354
9507207,16152
9905418,27418
202276,20668
212361,32007
9810291,6185
9512404,9410
208179,33360
9608247,4056
203011,24045
8075,27068
210110,30328
11237,22471
9801225,19381
9501240,8670
9603319,28541
107267,30584
9810285,19625
9403300,14195
103080,15146
9907339,19548
6118,21686
212324,26586
9512389,6676
9908493,13781
9908201,28565
9609327,12693
9412239,11337
104286,31925
9410375,9214
9405249,19820
211413,30120
9301241,7541
9607416,34158
9911291,17797
9506274,30323
9506326,388
210020,34405
9909377,10823
9306334,9378
108007,32685
9803451,6690
9610354,7926
106121,24335
3191,21242
206044,23456
9712496,15341
102336,21509
9308223,18786
9203201,1522
5226,6990
205215,20187
204263,26517
301148,27575
9509406,4671
9511445,32542
9506393,6825
9509324,8649
9612277,20461
9607464,27161
9809299,34170
9509238,12141
204016,27448
9901331,4750
9708254,14597
9703230,16510
301226,31010
1146,13981
9911491,20499
111333,20395
8037,23294
9208,27643
210311,31287
212369,32280
8252,20182
9306226,7902
203057,27792
9905215,5253
102121,21072
6220,34392
9701288,5039
9907269,15252
9504261,12705
9805481,3890
9705469,9842
9606390,14877
9610282,40
205148,16874
9810341,23328
208180,28928
9211331,23341
102151,25173
12260,8758
9309248,1021
211447,33663
103269,5088
212299,30563
9308372,25259
9310325,19218
5101,8123
9207262,26039
9703351,1459
101041,23900
9711399,19828
210025,32637
9503488,1889
9404271,16839
9910440,28935
9703284,4271
202106,14090
1201,22041
9905484,6702
109117,11799
9604249,27798
102283,27126
201032,28363
205202,15904
9812304,16474
9801411,10854
9804294,3299
9905352,19325
107065,27348
9507270,18597
210272,21488
201068,25586
211203,33877
9407212,18988
9810532,16780
9903496,8335
9161,4447
8184,6903
9708261,24937
9208244,11730
9610548,30044
201101,33427
9336,13343
9902398,30611
1150,17529
9610551,21397
1029,26741
9506366,13521
9801202,21478
111216,31347
9405408,30519
9609339,5932
9605277,10540
9510260,16763
111085,30516
209065,33683
9703253,25042
207031,12296
9703374,11184
103339,14109
102249,26913
9709444,18702
9412275,805
112099,32689
9810278,16885
9406406,15286
9809375,34034
9807353,1488
9801323,15607
9806469,8893
9812336,14636
205205,20242
110005,15192
5164,22613
9911265,24471
212118,32396
9902204,1645
9404290,20416
9804337,9200
9703458,14753
9309228,903
9509378,1248
9801373,11481
212206,32606
106057,16263
9512427,13731
10202,30237
9405209,4982
9809534,32499
9209235,21248
202007,8741
9607205,9738
9805229,920
9807328,34236
9807454,3253
104170,15007
206104,17524
9805316,10693
9811214,18889
9706352,13483
9512256,24019
9403358,5495
104156,32290
9610467,15030
9511470,5420
9910204,17286
208252,32193
9310,33514
208171,17699
9310374,6415
302107,29422
2097,4339
9908314,4941
9409459,18239
105187,11223
9610410,15279
9603333,589
9505324,15035
302139,31408
9606317,1108
9509327,1895
102233,26405
9607267,24151
302198,32319
9502227,14986
8335,22555
9911516,3868
9802359,3908
6018,11240
9707400,19557
107166,27459
9609431,2306
9605425,3503
9401332,11475
210179,24850
9912346,34387
111055,1067
9602309,14422
9510338,19443
9509385,22737
9408346,2911
9502382,24985
102177,20007
210389,23146
9905230,23813
9908468,31617
9609521,7000
12116,8777
5218,17097
9811391,25564
9312209,18760
9403375,32998
9701344,5994
203163,14458
10343,17064
207340,29259
9606360,1565
9909247,33141
101171,23356
9509375,8463
9409390,24435
209039,10663
9309319,15914
301137,27185
9305342,2391
9604347,3896
9706369,8501
9607304,11588
9312254,19797
9810340,13369
107188,11319
9305243,26633
9085,30857
9506258,11523
110029,15539
9908276,14379
9812454,6700
9803426,12878
9258,30316
9312320,19547
109063,27656
207225,25563
202117,30122
9205247,2841
101163,14819
9811243,14909
203077,31277
103274,17290
9412335,16183
9903464,1978
9809359,32306
9911342,4785
9505202,33576
5061,17442
9802416,9792
105135,30824
101224,16649
9311234,18387
208079,28467
207175,31703
108145,12343
9706470,9688
9707301,15235
11187,24384
203093,27429
9412395,29756
105322,31628
9711425,20767
9909429,8831
210146,21670
112104,21254
210174,24072
9901238,26108
9711308,982
9310209,15250
9905372,9191
104108,13708
3003,18893
211120,30512
9712515,6694
206235,23622
9704255,4375
3051,7257
7074,32901
103142,15911
205304,30393
6311,7057
9506445,20902
9807342,25487
9707501,32879
10351,33243
9608387,3620
9610449,242
9712366,29004
9412344,17481
9708299,3294
101234,23034
9407256,33880
9807498,12424
106224,32639
9905539,13784
9509204,113
9710312,742
9901204,14224
107290,25200
9810267,12902
2269,33640
102245,13144
2093,24125
9811213,30362
9308341,15333
9094,31427
9409437,198
9512246,5600
212010,34152
9706267,832
9310231,17776
9509426,3534
9612223,16759
2121,25144
204249,32248
9607361,24746
9409460,407
9501282,14684
9501302,22914
9511224,11470
9608357,2880
9906269,16241
211080,23134
9503239,24068
9904227,26536
9902373,33627
9712360,14358
9407381,8726
110276,20437
9911366,16606
9609494,33968
103184,17902
201216,24639
9903484,12816
301017,34123
9705398,629
111206,28619
9911275,1678
9504399,807
207164,5146
206308,18543
9908480,1141
8266,30270
9710274,32595
102226,19511
9601270,26925
10330,30038
9903265,13735
9804318,19804
11220,27604
9512442,10462
9511329,12648
9311340,2229
210376,24559
201204,22371
9312315,9580
9809547,5807
207281,25716
9510358,19478
2301,22029
9802332,30843
9311321,11079
12227,20398
9710255,4716
9603445,24530
9907448,32856
9506472,17319
7154,6768
4060,4304
9711462,22500
9301290,1154
9402270,6130
205262,17424
9704409,21973
104248,28733
205086,28737
9705399,11178
9601219,20732
9603238,2731
9611316,476
207294,22895
9806453,23758
103261,20073
7254,6285
212344,24999
207195,29306
109021,30349
9908329,20996
301133,32750
9907532,1665
9803334,14352
208094,31116
9409401,935
6160,8124
9803246,16308
9810379,28041
9409327,3486
9711486,3765
101007,29608
9403271,17021
11139,13307
9808282,28922
9303219,1164
9811234,3201
105286,30188
9709288,247
9402350,4091
9609377,7391
9612307,8251
9812343,33378
2161,2935
9702301,13952
9405212,5496
9402284,3441
111095,27032
211390,25968
9406426,7694
212375,27343
5215,24371
9804240,15958
9901420,14814
106338,30915
9603407,33249
11078,875
11322,21449
104202,30057
9910493,29172
109011,30787
9305308,7695
9307244,12593
9408359,3663
9811382,4743
8209,7202
9911456,14768
104114,19013
105202,32309
204241,34491
9710258,19158
9605447,1256
9807318,5049
9806211,20883
9812344,1541
211216,33597
208173,25804
9612388,17037
10279,31472
9509323,11452
10075,7369
9910494,7995
210395,30893
9502385,2342
212035,26062
7003,11255
9410207,32219
9907489,3684
9909356,11309
9902325,12906
9507448,17321
207052,21612
107055,24081
9202,10484
9902471,4752
1261,10136
6026,6762
7176,10615
9911447,11966
108142,24735
112131,29928
9508401,13350
9902379,28472
9610234,29547
9612350,32262
9309263,4596
1129,1583
9706378,16584
9901322,10182
9911426,6986
9610343,31409
9303217,17764
9707335,11847
9507267,8806
9803424,15413
4249,8072
9706405,27437
9604203,21015
9806264,33848
1060,29392
202029,23556
104214,30250
9612375,27632
9802210,26692
9704404,8798
9412365,8048
9510383,370
9509423,1450
211155,27594
205318,29614
9604312,425
9310217,3998
9811318,27187
11073,32502
302095,29612
9601303,1891
104213,26128
9403345,1400
9806443,20238
9809564,16499
9503233,5406
9605405,12271
12357,13169
9608430,2545
9607411,14621
9607327,25156
9810248,30608
9801264,18272
3182,32877
9908403,34434
9711379,5916
4246,14104
9712532,6279
9710272,18441
9412250,576
9908375,31524
9804434,14165
9910259,24281
9904217,31897
205219,20875
210030,33516
9604400,16580
9405205,14787
9910347,5024
6085,19930
107258,30621
9907440,25093
9911417,29708
211091,25143
111382,18817
9904326,28347
9907253,26696
9909479,8278
104309,23603
206055,13556
9707478,9298
9804277,13490
11203,21101
9507385,27665
205196,29979
9901441,32526
12371,2653
9703271,6344
9705402,6019
212116,24218
9511222,30245
9909345,10873
202228,20611
9509404,17295
208152,30248
9510404,3316
9607358,25754
9702356,18459
9805438,8332
9407359,3788
9710419,33354
9611290,27352
9707383,9697
105303,24205
210316,26306
9406308,8006
9908421,15403
9712462,16464
9804381,4245
9911463,4504
9805212,18962
9311371,26125
7284,22103
9809334,10585
9505393,351
9701291,14577
9603259,20309
207336,24409
9606337,5729
108170,12477
9907356,20796
9910378,31069
9905364,15606
204290,26505
9301284,16703
10317,16916
9502206,964
10184,28623
103209,23616
9705271,2781
9710461,15530
7043,4602
1079,27189
110121,10493
9410332,12737
9510376,814
9801419,18174
9707537,2793
9812483,4664
9405246,4122
9807245,8333
9810203,26446
208040,23139
9803373,29243
208098,29656
9910304,30360
9712312,32427
9805270,2983
9611306,32045
9901349,20821
12276,28001
7191,6870
9710371,1723
109282,16176
9806309,7911
9809580,25077
9701253,2420
8334,13465
9707388,21815
9411280,17314
201003,28244
9412302,6366
9605460,3562
209229,10723
9903378,26017
9612415,3783
9807208,29347
9412231,18389
9601312,32234
206019,15642
9303254,23243
212104,26387
9708212,13922
301013,33184
9812513,7889
9504304,3
9710508,9221
9709466,10085
9503244,11509
9710313,6685
9804216,20149
9610439,20415
9410205,12813
203021,17211
2233,23955
9908220,7349
206151,24133
5154,6522
9605227,21522
9902466,21280
9807364,12642
9803468,26283
9806513,9349
4077,21214
9812239,5775
1032,18083
2068,22516
9205210,1197
9807547,24727
9409378,29752
9503465,8457
110076,30463
9705269,15789
109185,30690
12263,30910
9307361,23936
9910354,32893
9605361,22121
9606448,13382
9705456,27964
12221,2705
9402306,16971
204173,19910
212148,27431
11189,32255
9405215,1355
7184,23126
9811260,19726
9910557,10918
9508358,6920
9403202,21923
9703319,6607
9902408,14022
9401273,16821
9409404,24329
12057,16315
9704342,13726
9902423,7929
109015,25748
9709470,8621
9908244,17476
9304238,11688
9806329,19469
9712262,15295
210127,18012
9405343,4362
7197,9065
10141,7730
9504340,10796
9307359,16577
2291,22373
9912229,16952
9404217,7914
108017,11295
208165,27490
9509402,25965
12155,2520
9802372,10415
9907483,21112
110211,32293
9802250,31259
9709229,11384
107117,770
9804451,14602
9604290,8603
9803471,15683
206226,17672
9408235,8841
9711356,16512
104243,22806
9411367,240
9507209,27197
110082,32055
9912448,10563
9604359,12142
111065,33450
9711449,22535
104096,23215
9507459,15964
111041,27193
111004,18926
9712449,33739
9606291,13093
9705330,24298
302250,30801
9506208,3959
9808362,20378
9908378,5609
110268,24606
9507343,1129
9711340,1921
9205202,2840
9607426,4268
9703378,15159
106226,21579
9809518,32406
9711362,3360
9611441,25663
9703208,12181
9910237,2555
9609201,7247
9607227,15932
201027,30834
9805458,28666
9706291,20329
2095,23988
9612295,33665
9808248,9307
208101,21877
9709302,15345
11294,33668
9608372,33957
210157,7383
9610512,30346
105309,32269
9807556,20442
9908461,28923
9912384,20707
9411444,6470
9410266,6912
9604236,12433
9908529,5672
9904369,5759
9910306,18634
9510356,20518
9710428,3295
3157,21635
9305315,10654
104293,2541
10128,18613
201030,22078
9911388,25524
207284,25941
9911455,11260
9311227,1884
112241,12072
206118,17972
202060,32755
9910341,11166
9311219,9867
9804461,23283
9709445,2446
9804421,1802
201209,16318
203221,33529
102037,17031
209308,32432
9605445,2179
9807215,6327
9911532,25533
205247,7832
9509281,11435
9705343,32976
9209230,3816
9501277,2311
9809285,22840
9505279,19050
9809519,29895
9807343,24660
207326,13241
9807505,14760
9703443,5431
205255,14862
9309225,16921
9905337,1138
9502321,3455
9511269,26135
9406225,12434
9803302,28130
9609341,2975
9306237,17847
301111,19978
9501265,51
9710449,27619
9712545,21852
9311335,5475
9303280,2369
9505333,8707
102346,24786
9701305,8697
9412363,8411
211110,23621
9912456,26744
102206,15015
210415,5151
9610494,20507
9302248,3966
9907496,10903
9801352,3729
9411291,34086
9405428,2454
105231,23953
204018,25377
5256,8889
9904385,10779
210267,25985
9708251,32556
9209262,4955
3201,20473
9182,24684
202080,30558
9808345,17787
8042,18307
9912452,10195
9802228,16867
9808394,9121
104155,20300
206161,33569
207310,6061
9707486,28429
9358,20299
9612256,11066
9503340,7498
206090,21010
9505219,4030
212187,30016
9912424,16250
8309,23738
1005,6377
9508227,11341
112012,28583
9407339,2054
9702413,19352
205107,31751
107301,17010
9309289,5725
9707474,3022
9408266,4523
107015,21689
9712422,24170
9803330,33181
9908229,3287
9804218,27290
9806394,12801
107321,27809
111234,7425
105220,19663
9803420,18588
8168,11859
9301217,9855
9907231,702
301185,31011
9510305,11998
3020,17283
202047,18373
9708233,6941
206141,27047
9412386,31613
103201,7564
7319,2469
9912550,32576
9100,28940
12331,21287
9711218,16151
203241,31602
9508283,5631
7120,6461
9505408,8689
9608293,9266
9712276,16100
9810217,27515
9505424,28945
207211,19463
9702416,13993
110149,21691
211321,22889
8020,13471
102269,18812
11008,28936
9605305,24316
9411342,10534
9608230,11522
9611365,32509
9906353,34163
2149,1959
9903410,15173
9807544,5949
9507388,6827
9512344,7499
9212235,3432
9612421,8794
105161,16262
9801365,5347
9805314,8848
9405423,1229
9901358,5711
203224,13986
9809544,4737
9704400,16227
1075,17292
4255,8199
9610266,14160
9901261,19295
9706451,19889
110312,20175
203160,27427
9712485,28478
2281,33695
9211265,26686
110368,27009
9608238,33759
9910409,15383
112135,11132
9301281,451
9304290,9970
9908213,16969
9604264,9290
207308,31505
9207207,13742
3054,29209
3202,25751
9604335,12716
9801300,9342
101263,10004
210151,33005
9609491,11658
9911207,9364
9909257,10191
9905329,13160
4023,22027
104092,26602
9701220,33630
9705353,33815
9612298,11347
9706284,12637
9705450,14443
9302242,26426
9708318,34304
9712464,8792
104305,31207
9802341,14020
9703390,2774
1030,25820
9610476,8423
9809568,9726
9905520,2988
9704202,15874
9910287,17152
9603409,393
9910299,4502
9603237,3281
301229,29540
9602267,3450
9710533,5816
9205203,780
106124,18621
211019,16386
10250,22297
9704241,16764
9806265,16881
9410299,33047
2305,555
9502380,8873
9904294,33906
9411304,15815
9506381,16192
207064,17609
8152,6902
8172,33137
9404361,13516
103232,32139
9507238,1392
9803403,17053
9511342,436
7080,2831
9703368,22447
9610504,12272
9801353,5245
9912222,26880
9608205,3257
9911486,17093
9906323,22907
9512369,1250
9606219,7094
9612309,30336
9506303,34247
9712296,26645
210002,26854
102008,29568
9702435,4282
9504269,11236
9507314,5036
111137,19509
103181,20932
107106,15443
9803467,17923
210138,34298
212015,17635
9808487,2499
9511204,5500
9410292,9600
9901449,32744
9708485,8083
9710231,22817
302075,27523
9801429,13252
9401206,9418
9701207,25891
9502285,9413
11124,2941
9907287,31484
9906278,23061
9709499,9521
207292,31949
9409391,197
110103,28561
9803490,23477
7276,19448
9512279,15618
9709478,22122
211441,33144
209340,22239
101077,25933
9802305,11161
11067,21511
9312341,3366
9407346,13264
9511405,6997
210240,22156
9802259,20413
9609293,21466
208132,13243
3299,17214
9906544,23141
9704401,17990
10245,12369
6184,12799
9710401,2212
9703359,3904
9612480,3292
204033,29197
201059,4899
203151,24231
109200,15189
9905436,747
9304271,1523
9711212,3512
9712213,8822
9711509,17788
103163,11393
208048,17650
9907502,4565
7145,10514
6260,16545
210319,20384
107059,23140
208020,31220
109110,23264
9904416,12937
201206,7415
9812437,20217
9912354,3230
9708429,22030
9704216,24431
9705381,32446
109208,29517
9510210,10991
9611215,21646
9909353,4633
9608257,33407
9711444,1468
9209277,5199
9611238,19191
9807441,25369
108232,11298
212082,30139
9508326,21068
9609297,21700
209170,32651
103023,17124
9903267,18002
9905501,21008
9808279,28568
9905335,30947
108202,13455
9602393,12266
9904466,31217
9712318,15053
9702392,2403
9408376,5972
9274,26877
9211248,2681
210305,22068
201080,17393
202214,20456
9904274,3911
211050,27593
9611338,30574
9610321,23460
202105,9458
203162,30846
9811492,3924
9403261,8853
9607318,9629
9506331,27766
9712243,14069
9508380,18489
9801253,10309
9502334,9287
9812280,10402
9703243,25390
110084,26547
212163,32324
9403379,17098
9909286,8912
110254,17710
9912536,30377
9803353,31525
103268,34253
9511308,3945
3251,6566
9710531,5731
9908376,21053
9707334,5896
102243,6450
9707247,9692
111102,24163
9912244,28881
107215,16565
9808296,1491
202163,27225
209182,34435
9310212,168
112091,34467
9708383,29047
105113,13288
9709366,13493
110228,28453
202192,17669
9907415,19063
9311320,796
302059,27514
9907243,259
9304216,2370
9610486,25358
9909451,25484
204271,26905
9607375,33490
9706524,14073
105252,2524
9402309,17612
9401289,31357
205346,29710
9708225,21160
10349,20609
9902293,1646
9510407,23070
108158,23874
208113,18726
9712350,6022
301100,24898
9606486,10301
9411221,27817
201185,30182
5025,4806
9702397,6854
9610530,20729
201260,31152
9707534,27750
112223,15044
6315,24041
9411211,4170
9902299,7152
9711459,17509
101097,20622
9906309,31186
208115,7437
302060,19892
9709213,15515
103289,13833
6316,30966
9509408,14571
9609468,3937
9501382,5542
9512437,10733
201006,20361
210435,22260
9404246,17326
9402280,8858
9405262,5033
201087,19657
9809450,17282
212221,31661
9403335,4460
9812445,4906
9607418,5227
9510442,8140
9706490,24917
9311339,172
9404303,19664
9710396,22993
209217,23069
9601272,29971
9609483,34299
9812365,5167
9309246,3623
9711483,4037
9712231,6332
9810491,1972
9603330,7088
108113,23695
9603331,19687
105270,18941
9806386,2103
9711460,3513
3138,6548
203089,17660
210057,26978
211259,28618
210107,32980
9809508,1497
11172,12859
7033,16546
9611346,18078
105030,23187
111336,20975
201289,28820
9601306,1323
9902345,13077
9501252,17318
9701256,4708
110064,24196
209342,34457
9607379,5640
9612230,22595
9401219,3214
9804379,11056
4127,10346
3136,17457
208224,22527
211049,27694
9803443,33661
207280,383
9503315,11862
9308306,30285
9904262,7237
9805464,25576
106022,15019
9901327,11563
302187,28525
202272,29876
101096,31147
105139,6758
9701402,19502
9405280,34140
9506436,4577
9810543,19636
9711420,34456
9704302,27657
9267,17518
9708249,20260
9507408,32049
9404313,3914
2112,26095
107210,33857
9412227,2861
9908239,26475
9606279,3038
103302,31991
9710549,22556
9702276,3901
206038,17201
8292,8174
9806305,14807
9902361,21075
9602404,2196
9901378,3091
203125,28328
9409384,12528
110346,12472
9705286,8500
209204,31627
2244,33924
11065,23534
9409362,3769
9612278,15523
9701298,25000
9709388,1466
9610269,9740
9605345,594
9809525,11128
9812219,27865
9810289,5656
9404254,16131
212263,26868
103084,21477
9906469,1661
9207222,148
203096,25973
9409280,27446
9207227,3469
207198,27548
9904438,5403
9905349,10369
9708405,13954
9511281,22946
205044,16380
101337,24880
9806317,3839
9903264,5848
9512299,11685
9801333,15823
9610286,25700
9403350,2341
9910480,24291
9503416,28008
9305262,1362
112356,18236
5236,12740
9808266,31740
9211226,4139
9906213,15259
9504433,14054
9509398,6369
9809316,27203
202032,20837
9710538,4407
9911308,18734
9304301,22843
301178,32548
9402274,10386
9512313,1014
9609523,14648
9709346,29688
106143,22200
9905510,25525
9409322,26567
210185,27787
9609215,8672
9809211,13523
6016,11239
9512241,5421
9606361,6830
9807326,5917
9905561,17696
9912264,2504
9512426,12496
203071,23067
9706299,18735
9905483,27740
9711350,9110
9412299,4054
9702384,14581
9802373,9042
108185,4895
9512291,16496
301034,33259
9612432,33977
110210,18348
9911433,17918
5167,22871
9812303,15686
206275,28895
9511461,16222
7268,9506
104120,17180
9603373,21283
9706289,9573
111156,14815
9809559,34345
9801414,17572
1163,16540
9811242,17475
101102,8238
9907486,18214
9910429,15800
9306281,19621
104179,22805
9708321,22733
212410,29485
9505380,30553
107246,31870
9507438,812
107027,21842
9605262,15338
105175,13114
9605392,12734
109023,22570
9411351,17335
9610516,20563
9508211,2971
9407398,8542
11331,29358
107322,27790
9506378,8472
9910329,26824
9908325,25283
9610453,27
9209293,30330
9812416,23532
4045,22258
9403331,14043
9705229,2432
2304,28675
9905296,2837
9409274,12685
112348,34060
207234,20240
108257,26177
9506261,1391
10117,7194
101287,24028
9701227,4373
9910469,29691
5092,30696
9410369,409
9807358,7656
210067,33451
9807248,10605
9908488,19356
3029,25266
11349,26004
111139,25442
11232,32178
9409298,15934
9505299,14868
9808216,21818
111059,6386
9904349,10123
105312,10933
7059,23122
9801273,8601
9406205,387
9404321,11118
9901211,26210
6235,1435
9507421,26209
9903470,26109
9712405,27770
9705245,2888
9904265,25371
9803256,9524
9604395,10380
9405399,1968
9611336,10256
9704413,11890
9609449,3306
107142,17908
2263,2036
9906455,28463
111227,17910
9804394,22815
208233,22583
9504427,3457
9908384,8336
9501257,5000
9205230,1344
9811283,23329
9403393,12807
9908277,28683
2234,2646
9512206,3240
9402346,27241
103134,29727
208169,33088
9306270,1020
211062,19898
9606328,32211
2088,24723
205092,17641
9207279,1313
9306319,5534
111309,6088
7063,22922
9401237,7639
206138,23626
206130,28660
9812352,24110
9610458,5529
9708217,16500
9510380,32155
9811222,19330
9703337,5875
9401283,19822
209296,23276
9312251,5279
9811310,29584
9810481,31894
9705256,30179
9712444,25589
202165,33419
6341,21870
9309325,10853
209225,17707
9808306,15312
1103,4680
9212300,20673
9608245,9389
9506264,3315
9608365,268
9308294,14638
9708378,21092
9709222,20251
208035,17698
10193,12291
2054,14013
9711349,9109
112115,22325
9308295,5596
9611420,24332
9911281,11104
301169,31536
9403292,9635
206209,21571
210387,12415
110056,21382
101037,11281
9609370,15277
9602335,13588
10157,17658
110015,27124
4216,29802
9609321,17810
9810303,9094
9502212,29167
2191,19966
9910541,5059
110079,23197
9602213,8966
9207216,5855
104283,6464
9401356,9374
9305223,10670
3026,22082
9610492,9619
9705322,26360
9207,33090
111360,21692
9501281,206
12064,30891
9801437,5890
9506203,3830
204350,18037
9606320,18461
9406303,3475
9709430,11305
9507357,22356
11304,23707
9905471,27611
9609441,12233
205204,29830
9407343,8686
5113,20098
9309223,1966
9801246,6527
104300,17190
9311312,2034
6300,16996
9704211,22869
102025,22965
9509205,2018
302172,29380
9809551,16636
9712513,27945
3046,33165
9701259,33610
106351,910
103283,32080
9707341,16733
9611295,33313
210169,34128
9407274,9124
1178,11506
9901442,9354
2254,8196
9702256,21429
9604257,24816
207181,17534
9712417,340
9601283,8497
9405332,10475
9802255,29194
9606439,11674
207017,33890
201092,27412
9905239,4352
9702220,22253
9810327,28343
9704370,27319
9607243,5226
9702212,21044
9909370,26795
9803297,1097
9708247,9946
9212309,23065
9807558,673
9811216,855
8156,11789
10311,31054
9411390,1733
104117,9196
9701374,16497
209049,24058
9211249,4195
11130,20525
207004,7434
4192,23050
101247,27083
302179,29190
108195,321
9711408,30066
105122,33317
9802352,2893
9512273,33575
9090,17342
9301288,3968
9710409,14763
10048,29299
9804438,22898
9809401,1785
103115,21272
9811353,3388
9702382,17857
10087,13411
9901330,23716
9904405,23476
110030,24245
9509395,29399
111175,27718
10119,32113
9607334,20781
9804422,15695
104163,27219
9204,31996
9807571,25970
1184,29385
9909565,31698
9302217,30
9809379,4580
9503391,27923
9405253,2373
211192,34102
9510227,19269
9810430,23847
209158,24628
9503313,2114
9605462,3891
9804213,6280
9707291,9728
9708363,12041
8011,29338
3167,23424
9704338,4679
9806303,7128
9611222,4034
9709358,12630
202209,16375
9711266,8788
11205,21796
207363,26057
210075,21152
9908503,32939
209362,34197
9504209,23343
9504270,2865
2188,26830
111219,34503
9712214,22351
106008,29177
5042,20210
9607244,8658
9903327,14802
9807210,21531
9803215,12846
9803318,27145
204061,20376
9703394,18046
211276,30724
104257,30838
112347,24849
9903272,10184
