"NODE_ID","ARTICLE_ID"
9910135,3859
201143,23034
10094,14112
9711090,2065
9905203,20671
204208,20603
9511100,7807
3120,9588
9809104,27224
9504005,12547
9804122,8555
304062,24002
9305069,187
9606099,4889
9310005,24577
9807130,27138
7237,12978
207036,21312
9804022,15649
109073,18325
201157,19742
212076,22819
209040,21843
9605209,14896
9902206,27415
9205059,1390
9503068,15099
6200,12464
9701145,26429
9406017,4695
208179,21754
9308020,5067
9408010,11926
203011,21311
303108,23769
9406148,25030
8075,13130
9706173,11372
210110,22201
9712177,5892
11237,14852
9901057,2833
9801189,2257
107267,17887
9610026,5491
103080,16101
6118,12271
212324,23068
9609040,7031
304034,23977
9908201,10725
9412239,23504
9905032,580
9410014,7828
112078,19348
9407083,24998
210096,22187
9305122,16577
9404181,12558
9408014,2244
210020,22101
9710010,5456
108007,17894
106121,17325
3191,10039
9406123,24957
206044,21049
9712092,11107
9708083,4239
9706180,11395
9710046,1590
9409076,15932
9409062,12863
5226,9412
205215,20895
9803089,26988
301148,23258
9609142,11905
9205018,2106
9707037,26652
9404007,24838
9907167,27563
204016,20402
9207002,11195
9906096,8316
9308005,1959
9406189,8338
9306151,24478
301226,23345
1146,5570
210311,22425
8037,13076
9208,13870
9804117,27026
8252,13478
9607065,7246
203057,20171
9905215,1531
102121,15882
9301086,6176
9410150,7207
6220,12496
205148,20829
208180,21755
9510083,2175
102151,15918
12260,15338
9904073,3408
212299,23045
9605172,7604
5101,11412
9909042,4432
101041,15423
9808163,10065
9703007,435
9909074,27632
9604171,2163
210025,22109
202106,20008
1201,6318
109117,18381
201032,19587
205202,20886
9310094,14198
107065,17587
9805065,2625
9908127,14000
9904072,5365
9304161,11757
9712128,3758
201068,19634
210272,22384
211203,22638
9306031,8530
9407071,16575
9906160,10154
8184,13359
9161,13749
9508179,25662
9912042,13649
201101,19681
1150,5606
1029,2269
111216,19184
9801202,5183
9308140,7412
9609189,26222
9707167,9345
209065,21867
111085,16339
9804165,27035
9502101,25390
207031,21302
9805019,521
9810092,3297
9902164,27408
112099,19382
9805131,2328
9812122,27354
9901150,3569
9807143,16041
205205,20890
9302010,12769
110005,18540
5164,11622
9212011,7596
9608048,10359
212118,22334
9902204,9064
9512026,8188
9506149,25571
9509086,7245
9505120,16347
9509121,25694
9702096,9829
212206,22952
106057,17213
9606128,26077
9605211,9877
10202,14289
202007,19912
104170,13465
206104,21118
9811214,8204
9707112,11180
104156,16606
9502016,18604
9511065,2577
9311122,11295
208171,21747
302107,23486
9705073,17651
303096,23745
2097,7689
9409080,23612
105187,17006
9304162,24421
9907031,11373
302139,23525
302198,23590
9210068,399
9409109,16317
6018,12019
107166,17745
9906066,19537
9310037,7177
210179,22277
111055,18992
9711098,559
9904068,3407
102177,15946
9811006,10736
9905230,7868
12116,15156
9312084,24683
5218,11771
9312209,11881
203163,18087
9608182,20953
9702144,7911
9202025,7419
9405092,24910
101171,15617
9311103,16620
209039,21842
9308096,25871
301137,23245
9505145,7567
107188,17767
9409066,19753
9085,13605
110029,18570
9209049,5757
9306145,937
9612034,14101
109063,18315
9611062,15973
207225,21504
202117,20017
9706058,26613
9712124,4601
101163,15608
9811243,3318
203077,20195
9407116,10097
9803140,3458
9305152,7129
5061,11289
9512090,23626
105135,16940
101224,15681
9611172,490
208079,21654
207175,21454
9212114,24325
9512054,5352
108145,18121
11187,14774
9207006,4394
203093,19775
9304020,11132
9403104,10738
210146,22243
112104,19388
210174,22272
9208054,24263
9901045,9545
9602158,25904
104108,16552
3003,8831
9212019,8029
211120,22545
9609053,4314
9206014,13950
3051,9070
7074,12677
9711093,10545
9206023,107
103142,16189
9411139,19551
205304,20987
9803144,9036
9411155,11215
9506008,15771
9702094,50
9504064,12487
9809175,7530
9204074,9063
9801045,11338
9310130,4562
101234,15697
9309085,2136
9507009,11429
9205067,24493
9204065,2105
9811213,1341
9302038,4060
2093,7582
9601024,11989
9402126,18865
9802196,7047
9910098,10159
9094,13621
212010,22737
204249,20642
304053,23995
9402129,12376
9612223,1200
2121,7919
9511224,15330
9812032,841
9604008,16764
9601046,11020
211080,22507
9512097,10245
9601109,5218
110276,18879
9904139,6593
103184,16251
201216,19854
9405183,10389
9503132,16124
301017,23111
9811054,1681
9205102,8914
9206053,1391
111206,19164
207164,21443
9206045,8418
9911149,19168
9411091,6756
9405029,897
9305064,12230
9405161,14408
9808058,10278
9411054,12084
11220,14826
9208073,23427
9903265,27449
9312171,8786
201204,19841
9811084,1909
9805127,8013
207083,21364
207281,21577
9810080,10194
9809027,1629
12227,15289
7154,12841
9403187,542
9511055,2514
9704051,5629
9702196,5324
9601088,10362
4060,10628
9502133,19364
9605060,23758
9809079,27216
9803171,722
9804084,2427
9210081,19110
104248,16735
9611176,4213
9512032,8721
9206066,24482
9809073,13629
9712007,5615
103261,16372
9608059,3840
7254,9200
207195,21477
9911138,6941
109021,18275
212344,23089
9503168,10766
301133,23241
9404158,20578
9602116,25891
9310061,17204
9307013,6693
9307092,20292
304161,24117
9509148,1190
11103,14636
208094,17643
9906135,9907
9704060,26534
6160,12368
9803246,27007
101007,15365
11139,14713
9811234,9542
105286,17093
9304134,24417
9608195,5238
9903054,3377
9305012,6926
2161,8164
111095,19024
9403027,14332
9509006,11108
9205091,4058
5215,11769
9804138,14029
9705066,26569
9606018,10496
9509098,11998
11078,14591
9202040,16107
104202,16662
109011,18262
9410179,25176
204241,20634
8209,13393
104114,16564
105202,17024
9712036,22104
9212128,24591
9205099,6796
9810131,913
9707108,12918
9806211,27104
9912129,13588
211216,22651
208173,21749
10279,14435
10075,14072
9402130,24895
9208007,5558
212035,22778
7003,22206
9410207,25188
207052,21329
107055,17574
9202,13839
7176,12876
6026,12040
108142,18118
112131,19416
9701026,13727
9610234,486
9408023,6052
9303051,19662
9902070,6461
1129,5375
9506147,6132
9501040,15974
9803142,1928
9710136,2908
9604028,9890
9910138,2222
9902074,763
9409116,13939
9911005,27701
1060,3522
202029,19929
9304156,8237
211155,22588
9312025,24671
9403120,20375
205318,21002
9303049,20653
11073,14535
302095,23473
104213,16688
9209073,13298
9504156,25489
9810248,4917
9503233,25454
3182,9861
9311082,17184
9507130,26362
9412121,25312
9604113,6454
9706167,10049
9703185,12144
303189,23855
10211,13866
9406008,3136
9712027,26868
9603091,25924
9912118,628
9910259,27697
9904217,3419
9204011,4946
205219,20897
210030,22115
9711199,15869
9701082,5247
9910040,5094
9805150,6359
9710198,4264
9305057,12658
6085,9377
9709134,4813
107258,17873
9709128,26760
9503087,4702
211091,22518
9908134,1386
9911124,4169
9407053,23671
206055,21061
11203,14799
9609091,26193
9609107,1903
9301120,17011
212116,22859
9511222,256
9412069,18759
9708139,11467
9503032,4829
208152,21725
9410064,6599
9801207,6455
9705017,4322
105303,17111
9805212,2197
9702087,3846
9211081,24304
9805074,27059
9304133,6125
9907089,15331
9606001,5578
108170,18160
9704017,2167
10184,14265
9912010,27733
103209,16280
7043,12638
9712016,26867
110121,18681
9408038,10968
9612076,2029
303168,23831
9810203,6517
208040,21614
208098,21676
9701009,6230
9411088,11138
9912034,9734
9606044,332
9307043,8143
7191,3509
9411098,25226
9406144,8367
9801181,16303
9304084,14888
9304106,9963
103070,16091
9602147,3139
9606144,5895
9906120,11772
201003,19562
9807208,3273
209229,22046
9403148,24824
9303065,8170
9712100,9449
206019,21026
212104,22846
301013,23107
9903075,15454
9806190,7641
9411096,20016
109185,18485
2233,8622
9410205,3742
9410011,8218
203021,20131
110076,18631
206151,21167
5154,11591
9309131,14816
9503039,25416
12263,15344
4077,10726
9405188,6549
9812239,1348
1032,2364
2068,7354
9505018,3983
9603059,25919
9812124,12124
9207049,89
12221,15280
9910158,15848
11189,14776
204173,20560
212148,22892
9610088,26246
7184,12900
9412018,8380
9410186,25179
9612049,10694
9908064,3945
12057,15033
109015,18268
9405020,17969
9409134,11704
9807052,2792
9805075,27060
9403046,24798
210127,22223
201067,19633
9903108,27431
7197,12926
10141,14186
9606006,26050
9702058,1608
9912229,11172
9909182,11759
208165,18923
108017,17891
12155,15203
9606081,20545
9412199,10668
110211,18800
9709229,1453
107117,17683
9503047,25417
206226,21241
104243,16730
9510073,17918
9403007,24788
9305167,4109
9208065,24279
9403031,9226
110082,18641
9604013,1320
9902008,6615
111065,19001
104096,18832
111041,18978
9706188,14425
9901013,27377
111004,18916
9210063,11259
9506208,25584
110268,18868
9502002,7381
9201052,16305
106226,17436
9204002,7201
9902116,2757
9810048,22760
9703208,1240
9310043,10972
9407007,4763
9908047,883
9910237,8348
9503127,2940
9607227,3506
9609201,4716
201027,19584
9511038,7193
2095,15048
208101,20788
11294,14962
9311047,11303
105309,17119
9407173,9217
210157,22255
9409123,25107
9701097,15037
3157,9776
9811053,1526
9609016,6552
201030,19585
303100,23761
10128,14170
9411060,25218
207284,21580
9504150,7602
202060,17305
112241,19531
206118,21135
9403097,24816
9903188,16407
201209,19847
203221,20337
9906121,8699
102037,15749
9603138,25940
9807215,1433
9405074,13942
9206110,20599
7128,12793
9702057,20438
205247,20926
9206056,9557
9910112,22744
9908040,928
9304109,24413
205255,20935
9310024,11387
9912052,10598
9712061,6653
9703083,2837
9406100,8462
301111,23219
9709066,6054
9403177,5601
9908006,8906
9906028,27515
9406176,12731
211110,22536
9905085,3426
9211028,3607
9510160,25740
9502044,12812
9802083,8922
9307177,14230
9908167,10175
9802077,10213
5256,11865
204018,20404
210267,22377
9408026,25040
9511061,8612
303169,23832
3201,10070
9182,13791
202080,19984
9810035,2200
9410177,6390
9803011,1431
9606187,1700
9707041,5072
8042,13082
9311139,6996
104155,16605
9901111,11063
206161,21176
9807068,27124
9906015,27512
9503075,20654
9507070,10350
212187,22932
206090,21106
9504045,7554
1005,914
9908034,1052
112012,19279
205107,20794
9202077,4686
107015,17520
9406043,24939
9801012,26910
9207110,24790
105220,16793
9405153,5706
8168,13335
9704028,5770
9206054,17146
9704197,1132
9612162,1233
9708016,2742
9608180,3704
301185,23299
3020,8882
202047,19951
9906038,6420
206141,21157
103201,16269
9100,13634
9902104,9872
9512139,409
9503126,3676
9511033,10827
7120,9295
9310150,4412
203241,20358
9810217,27292
9912006,11078
207211,21491
110149,18724
9906114,5986
9805009,12254
8020,13051
11008,14464
9907128,5127
9603153,25944
9610130,26258
2149,8106
9401062,3891
